Year,Respondents,Countries,MedianDurationSeconds,WomenShare
2017,16716,52,,0.16618808327351042
2018,23859,58,1021.0,0.16807074898361204
2019,19717,59,540.0,0.16290510726783994
2020,20036,55,626.0,0.19355160710720704
2021,25973,66,656.0,0.18827243676125208
